condition,response,row_number,trial_name,index_observation,index_utterance,id
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,30
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",main_trials,3,23,30
1,"['all', 'some', 'right']","[9, 9, 3, 3, 3]",main_trials,0,26,30
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,15,30
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",main_trials,5,11,30
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,30
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",main_trials,7,20,30
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",main_trials,8,27,30
0,"['all', 'most', 'wrong']","[3, 3, 3, 0, 0]",main_trials,9,29,30
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",main_trials,10,14,30
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",main_trials,11,13,30
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,21,30
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,30
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",main_trials,14,26,30
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",main_trials,15,20,30
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",main_trials,16,28,30
0,"['all', 'most', 'wrong']","[3, 3, 0, 0, 0]",main_trials,17,29,30
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",main_trials,1,14,30
0,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,20,30
1,"['most', 'some', 'right']","[9, 9, 3, 0, 0]",main_trials,19,18,30
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",main_trials,14,29,51
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,51
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",main_trials,0,21,51
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,15,51
1,"['all', 'some', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,27,51
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",main_trials,1,14,51
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",main_trials,5,11,51
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,20,51
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",main_trials,8,27,51
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",main_trials,10,21,51
0,"['most', 'some', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,19,51
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",main_trials,17,10,51
0,"['all', 'most', 'right']","[12, 12, 12, 12, 12]",main_trials,2,28,51
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",main_trials,3,23,51
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",main_trials,11,22,51
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",main_trials,9,18,51
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",main_trials,15,13,51
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",main_trials,16,28,51
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",main_trials,15,20,6
1,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",main_trials,4,20,6
0,"['some', 'some', 'right']","[9, 9, 9, 9, 9]",main_trials,8,10,6
1,"['some', 'some', 'right']","[3, 3, 3, 3, 3]",main_trials,14,10,6
0,"['some', 'some', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,11,6
1,"['some', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,12,6
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,6
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",main_trials,5,22,6
0,"['some', 'some', 'wrong']","[12, 12, 12, 3, 3]",main_trials,11,11,6
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,6
0,"['most', 'some', 'right']","[9, 9, 9, 3, 3]",main_trials,7,18,6
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",main_trials,1,14,6
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",main_trials,16,11,6
0,"['most', 'most', 'wrong']","[3, 3, 0, 0, 0]",main_trials,17,21,6
0,"['some', 'some', 'right']","[9, 9, 3, 0, 0]",main_trials,19,10,6
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,53
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,53
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",main_trials,1,23,53
0,"['all', 'some', 'wrong']","[9, 9, 9, 3, 3]",main_trials,7,27,53
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",main_trials,8,27,53
0,"['all', 'some', 'wrong']","[9, 9, 3, 3, 3]",main_trials,0,27,53
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,15,53
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",main_trials,17,10,53
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",main_trials,14,26,53
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,53
1,"['some', 'some', 'wrong']","[3, 3, 3, 0, 0]",main_trials,9,11,53
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,21,53
0,"['some', 'some', 'right']","[12, 12, 9, 9, 9]",main_trials,16,10,53
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",main_trials,11,22,53
1,"['most', 'some', 'right']","[9, 9, 3, 0, 0]",main_trials,19,18,53
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",main_trials,5,22,53
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",main_trials,19,21,18
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",main_trials,0,12,18
0,"['some', 'some', 'right']","[12, 12, 9, 9, 9]",main_trials,16,10,18
1,"['most', 'some', 'right']","[9, 9, 9, 3, 3]",main_trials,7,18,18
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,18
0,"['most', 'some', 'wrong']","[12, 12, 9, 3, 3]",main_trials,15,19,18
