condition,response,row_number,array_size_condition,index_array_size_condition,index_observation,index_utterance,id
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",wideShort,0,0,21,75
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,30,75
1,"['most', 'some', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,18,75
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",wideShort,0,3,27,75
0,"['most', 'most', 'wrong']","[12, 12, 0, 0, 0]",wideShort,0,4,21,75
1,"['most', 'some', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,18,75
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",wideShort,0,6,28,75
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",wideShort,0,7,26,75
0,"['some', 'some', 'wrong']","[12, 12, 12, 3, 3]",wideShort,0,8,11,75
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",wideShort,0,9,20,75
0,"['some', 'some', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,11,75
1,"['some', 'some', 'right']","[12, 12, 3, 0, 0]",wideShort,0,11,10,75
0,"['all', 'most', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,29,75
0,"['some', 'some', 'wrong']","[9, 9, 9, 3, 3]",wideShort,0,13,11,75
0,"['most', 'most', 'wrong']","[9, 9, 0, 0, 0]",wideShort,0,14,21,75
1,"['all', 'none', 'right']","[0, 0, 0, 0, 0]",wideShort,0,15,24,75
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,28,75
0,"['some', 'most', 'wrong']","[9, 9, 3, 0, 0]",wideShort,0,17,13,75
1,"['most', 'most', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,20,75
0,"['all', 'most', 'wrong']","[3, 3, 3, 0, 0]",wideShort,0,19,29,75
0,"['most', 'none', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,16,74
1,"['none', 'all', 'right']","[0, 0, 0, 0, 0]",wideShort,0,15,6,74
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",wideShort,0,7,26,74
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",wideShort,0,17,12,74
0,"['some', 'none', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,8,74
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",wideShort,0,11,14,74
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,28,74
1,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,14,74
0,"['most', 'all', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,22,74
0,"['most', 'most', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,21,74
0,"['none', 'all', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,6,74
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",wideShort,0,4,14,74
