model,utt_idx,obs_idx,p_low,p_info,p_high,highlight_info_gt_low_plus_high,utt_label,obs_label
model_avg_softmax_elpd_loo,0,0,0.022612124918219522,0.22919326656769443,0.7481946084718798,False,none / none / right,[9 9 3 3 3]
model_avg_softmax_elpd_loo,0,1,0.7417083005719564,0.23134147407263247,0.026950225186500504,False,none / none / right,[12 12 12 12 12]
model_avg_softmax_elpd_loo,0,2,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[9 9 9 0 0]
model_avg_softmax_elpd_loo,0,3,0.14242552602109268,0.5795347450682412,0.27803972876454275,True,none / none / right,[9 9 9 9 9]
model_avg_softmax_elpd_loo,0,4,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12  0  0  0]
model_avg_softmax_elpd_loo,0,5,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12  9  0  0]
model_avg_softmax_elpd_loo,0,6,0.29029066338331044,0.48895346557200087,0.22075587092296023,False,none / none / right,[12 12  9  9  9]
model_avg_softmax_elpd_loo,0,7,0.0037079078331877695,0.16187093704190497,0.8344211550842157,False,none / none / right,[3 3 3 3 3]
model_avg_softmax_elpd_loo,0,8,0.23800506102598132,0.43572820092076264,0.32626673794482225,False,none / none / right,[12 12 12  3  3]
model_avg_softmax_elpd_loo,0,9,0.1078938832478976,0.34544874566441436,0.5466573710250673,False,none / none / right,[12 12  9  3  3]
model_avg_softmax_elpd_loo,0,10,0.04285425047273293,0.29838486783395596,0.6587608816392376,False,none / none / right,[12 12  3  3  3]
model_avg_softmax_elpd_loo,0,11,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[12 12  3  0  0]
model_avg_softmax_elpd_loo,0,12,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[3 3 0 0 0]
model_avg_softmax_elpd_loo,0,13,0.048101864843062205,0.30977673925739024,0.6421213958424726,False,none / none / right,[9 9 9 3 3]
model_avg_softmax_elpd_loo,0,14,0.3333333333333273,0.3333333333333273,0.3333333333333273,False,none / none / right,[9 9 0 0 0]
