Q1,Q2,A,observation,condition,factor_high,factor_low,avg_factor
some,some,wrong,"[0, 0, 0, 0, 0]",high,2.090268787025,,
some,none,wrong,"[12, 12, 3, 0, 0]",high,1.29410259055,,
some,most,wrong,"[0, 0, 0, 0, 0]",high,1.3974981231,,
all,some,wrong,"[0, 0, 0, 0, 0]",high,1.509166705875,,
none,all,right,"[0, 0, 0, 0, 0]",high,1.591760777125,,
some,most,right,"[9, 9, 3, 0, 0]",high,1.29553882345,,
some,none,wrong,"[12, 12, 0, 0, 0]",high,1.676245958675,,
some,most,right,"[9, 9, 0, 0, 0]",high,1.739602691525,,
most,some,wrong,"[0, 0, 0, 0, 0]",high,1.9065970438,,
some,all,right,"[12, 12, 0, 0, 0]",high,1.59610063255,,
most,all,right,"[12, 12, 12, 0, 0]",info,,,-1.1163794928
all,all,right,"[12, 12, 12, 12, 12]",info,,,-1.0271608251
all,all,wrong,"[0, 0, 0, 0, 0]",info,,,-1.027738309125
most,none,wrong,"[12, 12, 12, 0, 0]",info,,,-1.036492874125
most,none,right,"[12, 12, 0, 0, 0]",info,,,-1.03668833525
most,some,right,"[3, 3, 3, 3, 0]",info,,,-1.0426227727000001
most,some,wrong,"[12, 9, 9, 9, 9]",info,,,-1.04281794705
most,all,wrong,"[12, 12, 0, 0, 0]",info,,,-1.1166285787999999
some,all,wrong,"[12, 12, 12, 0, 0]",info,,,-1.026854181225
some,all,right,"[12, 12, 0, 0, 0]",info,,,-1.02702112105
some,most,wrong,"[12, 12, 9, 3, 3]",low,,1.2951826875,
some,most,right,"[12, 12, 12, 12, 12]",low,,1.395219143925,
all,some,right,"[12, 12, 12, 12, 12]",low,,1.5074511577249998,
none,all,wrong,"[12, 12, 12, 12, 12]",low,,1.5916282078,
some,none,right,"[12, 12, 12, 0, 0]",low,,1.6776801683,
some,most,wrong,"[12, 12, 12, 3, 3]",low,,1.7388461029500002,
most,some,right,"[12, 12, 12, 12, 12]",low,,1.9042456735750002,
some,some,right,"[12, 12, 12, 12, 12]",low,,2.087707400775,
some,none,right,"[12, 12, 9, 0, 0]",low,,1.295924021975,
some,all,wrong,"[12, 12, 12, 0, 0]",low,,1.59596148975,
